Step: 208 | Reward: -19.75 | Advantage: -0.011785 | Loss: -2.1137e-08 | Prob: 0.99971 | Log Prob: -0.00028537 | Grad Norm: 5627.6 | Time: 10.98 | Total Time: 7.5199
Step: 212 | Reward: -21 | Advantage: -0.018203 | Loss: 1.4039e-07 | Prob: 0.99968 | Log Prob: -0.00031917 | Grad Norm: 8245.4 | Time: 10.207 | Total Time: 7.69
Step: 216 | Reward: -20.5 | Advantage: 0.0044475 | Loss: 1.7741e-07 | Prob: 0.99968 | Log Prob: -0.00031905 | Grad Norm: 9138.7 | Time: 11.904 | Total Time: 7.8884
Step: 220 | Reward: -21 | Advantage: -0.020721 | Loss: -3.1231e-07 | Prob: 0.99963 | Log Prob: -0.00037224 | Grad Norm: 16277 | Time: 9.9472 | Total Time: 8.0542
Step: 224 | Reward: -21 | Advantage: -0.016604 | Loss: -3.0035e-07 | Prob: 0.99963 | Log Prob: -0.00037057 | Grad Norm: 14603 | Time: 8.8751 | Total Time: 8.2021
Step: 228 | Reward: -21 | Advantage: -0.024515 | Loss: -6.0494e-08 | Prob: 0.99959 | Log Prob: -0.00041261 | Grad Norm: 6078.7 | Time: 8.3692 | Total Time: 8.3416
Step: 232 | Reward: -20.75 | Advantage: -0.011416 | Loss: -3.0935e-07 | Prob: 0.99958 | Log Prob: -0.00041607 | Grad Norm: 5616.9 | Time: 7.6472 | Total Time: 8.469
Step: 236 | Reward: -20.5 | Advantage: -0.015747 | Loss: -8.2175e-08 | Prob: 0.99956 | Log Prob: -0.00044278 | Grad Norm: 4243.3 | Time: 6.7498 | Total Time: 8.5815
Step: 240 | Reward: -21 | Advantage: -0.021431 | Loss: 2.7913e-07 | Prob: 0.99954 | Log Prob: -0.00046347 | Grad Norm: 10982 | Time: 6.1443 | Total Time: 8.6839
Step: 244 | Reward: -21 | Advantage: -0.036781 | Loss: 5.1402e-08 | Prob: 0.99949 | Log Prob: -0.0005088 | Grad Norm: 10051 | Time: 8.4724 | Total Time: 8.8251
Step: 248 | Reward: -19.75 | Advantage: -0.014986 | Loss: 6.1351e-09 | Prob: 0.99946 | Log Prob: -0.00054392 | Grad Norm: 13117 | Time: 11.464 | Total Time: 9.0162
Step: 252 | Reward: -20.25 | Advantage: -0.0026719 | Loss: -2.7013e-08 | Prob: 0.99943 | Log Prob: -0.00056837 | Grad Norm: 4879.1 | Time: 11.32 | Total Time: 9.2049
Step: 256 | Reward: -21 | Advantage: -0.021768 | Loss: -6.6033e-07 | Prob: 0.99946 | Log Prob: -0.00053999 | Grad Norm: 11503 | Time: 10.399 | Total Time: 9.3782
Step: 260 | Reward: -21 | Advantage: -0.032279 | Loss: -2.046e-08 | Prob: 0.99934 | Log Prob: -0.00066428 | Grad Norm: 11560 | Time: 9.3619 | Total Time: 9.5342
Step: 264 | Reward: -20.25 | Advantage: 0.0051758 | Loss: -6.0504e-08 | Prob: 0.99934 | Log Prob: -0.00066046 | Grad Norm: 7219.1 | Time: 8.9598 | Total Time: 9.6835
Step: 268 | Reward: -21 | Advantage: -0.0353 | Loss: -2.5877e-07 | Prob: 0.99926 | Log Prob: -0.00074027 | Grad Norm: 11969 | Time: 7.2243 | Total Time: 9.804
Step: 272 | Reward: -20.5 | Advantage: -0.013767 | Loss: -2.0447e-07 | Prob: 0.99922 | Log Prob: -0.00077755 | Grad Norm: 3898.7 | Time: 8.0098 | Total Time: 9.9374
Step: 276 | Reward: -20 | Advantage: -0.016042 | Loss: -4.4324e-08 | Prob: 0.99917 | Log Prob: -0.00083111 | Grad Norm: 7181.3 | Time: 9.4891 | Total Time: 10.096
Step: 280 | Reward: -21 | Advantage: 0.00073431 | Loss: -3.0846e-07 | Prob: 0.99913 | Log Prob: -0.00087258 | Grad Norm: 7881.1 | Time: 10.506 | Total Time: 10.271
Step: 284 | Reward: -20 | Advantage: 0.0050092 | Loss: 9.8051e-08 | Prob: 0.99903 | Log Prob: -0.00097143 | Grad Norm: 9973.7 | Time: 9.497 | Total Time: 10.429
Step: 288 | Reward: -20.5 | Advantage: -0.0010594 | Loss: -5.2368e-08 | Prob: 0.99898 | Log Prob: -0.0010161 | Grad Norm: 6255.2 | Time: 11.017 | Total Time: 10.613
