Using device: cuda
Episode: 2384, Reward: -18.125, Loss: -0.00298688, Time: 22009.23ms
Episode: 2400, Reward: -17.125, Loss: 0.00855819, Time: 22385.52ms
Episode: 2416, Reward: -18.3125, Loss: -0.00663567, Time: 22783.64ms
Episode: 2432, Reward: -18.0, Loss: -0.00281648, Time: 22611.11ms
Episode: 2448, Reward: -17.3125, Loss: -0.00099832, Time: 22399.64ms
Episode: 2464, Reward: -17.9375, Loss: -0.00816223, Time: 23182.47ms
Episode: 2480, Reward: -18.125, Loss: -0.00783691, Time: 22785.15ms
Episode: 2496, Reward: -17.375, Loss: 0.00707574, Time: 22781.94ms
Episode: 2512, Reward: -17.875, Loss: -0.01023979, Time: 22419.44ms
Episode: 2528, Reward: -17.75, Loss: -0.00212595, Time: 22567.65ms
Episode: 2544, Reward: -16.4375, Loss: -0.01525310, Time: 20183.73ms
Episode: 2560, Reward: -18.4375, Loss: 0.00600213, Time: 22402.59ms
Episode: 2576, Reward: -17.625, Loss: -0.00749549, Time: 23423.33ms
Episode: 2592, Reward: -18.8125, Loss: -0.00298684, Time: 22570.10ms
Episode: 2608, Reward: -18.9375, Loss: 0.00944615, Time: 23010.96ms
Episode: 2624, Reward: -18.0, Loss: -0.01811592, Time: 22391.05ms
Episode: 2640, Reward: -18.1875, Loss: -0.01478382, Time: 22377.59ms
Episode: 2656, Reward: -18.0, Loss: -0.01532544, Time: 22778.86ms
Episode: 2672, Reward: -18.125, Loss: -0.00922398, Time: 22817.84ms
Episode: 2688, Reward: -17.9375, Loss: -0.01692162, Time: 22581.84ms
Episode: 2704, Reward: -18.8125, Loss: -0.00542338, Time: 23192.89ms
Episode: 2720, Reward: -19.6875, Loss: -0.01373737, Time: 22591.02ms
Episode: 2736, Reward: -18.25, Loss: -0.00609877, Time: 22799.22ms
Episode: 2752, Reward: -19.4375, Loss: -0.01133219, Time: 23198.25ms
Episode: 2768, Reward: -18.5, Loss: -0.00410463, Time: 22777.11ms
Episode: 2784, Reward: -17.875, Loss: 0.00279724, Time: 22984.89ms
Episode: 2800, Reward: -18.6875, Loss: -0.00452088, Time: 22997.09ms
Episode: 2816, Reward: -18.5, Loss: -0.01061479, Time: 22188.35ms
Episode: 2832, Reward: -17.875, Loss: -0.00774787, Time: 22008.08ms
Episode: 2848, Reward: -18.6875, Loss: -0.00051670, Time: 22998.73ms
Episode: 2864, Reward: -18.0, Loss: 0.00556293, Time: 22581.86ms
Episode: 2880, Reward: -19.4375, Loss: -0.00725755, Time: 22390.79ms
Episode: 2896, Reward: -18.4375, Loss: -0.00514375, Time: 22601.08ms
Episode: 2912, Reward: -19.5, Loss: -0.01831668, Time: 22821.05ms
Episode: 2928, Reward: -18.375, Loss: -0.01972869, Time: 22559.79ms
Episode: 2944, Reward: -19.0625, Loss: -0.01461672, Time: 22806.55ms
Episode: 2960, Reward: -19.125, Loss: -0.00951787, Time: 22975.07ms
Episode: 2976, Reward: -19.0, Loss: -0.01927457, Time: 22998.50ms
Episode: 2992, Reward: -18.9375, Loss: -0.02272380, Time: 22376.56ms
Episode: 3008, Reward: -18.875, Loss: -0.01399782, Time: 22818.13ms
Episode: 3024, Reward: -19.3125, Loss: -0.02290393, Time: 22580.30ms
Episode: 3040, Reward: -17.875, Loss: -0.01849241, Time: 22796.93ms
Episode: 3056, Reward: -19.125, Loss: -0.02704018, Time: 21976.79ms
Episode: 3072, Reward: -19.5, Loss: -0.02065286, Time: 22995.73ms
Episode: 3088, Reward: -19.75, Loss: -0.02275716, Time: 22218.89ms
Episode: 3104, Reward: -19.0625, Loss: -0.02492277, Time: 22774.41ms
Episode: 3120, Reward: -19.0625, Loss: -0.02943880, Time: 22387.58ms
Episode: 3136, Reward: -19.5, Loss: -0.03094727, Time: 22792.99ms
Episode: 3152, Reward: -19.8125, Loss: -0.00553668, Time: 22608.44ms
Episode: 3168, Reward: -19.125, Loss: -0.02778307, Time: 22786.61ms
Episode: 3184, Reward: -19.5625, Loss: -0.03931402, Time: 23017.01ms
Episode: 3200, Reward: -19.6875, Loss: -0.03750136, Time: 22966.25ms
Episode: 3216, Reward: -19.9375, Loss: -0.02735498, Time: 22979.68ms
Episode: 3232, Reward: -19.25, Loss: -0.03621818, Time: 21992.90ms
