Episode: 284, Loss: -0.006316608749330044, Reward: -20.25, Advantage: -4.607495185382504e-08, Max Prob: 0.4189176559448242, Max Log Prob: -0.8700808882713318
Episode: 288, Loss: -0.006819047499448061, Reward: -19.75, Advantage: -1.1911255626273487e-07, Max Prob: 0.39931347966194153, Max Log Prob: -0.9180085062980652
Episode: 292, Loss: 0.006494804285466671, Reward: -20.5, Advantage: -1.2436805718607502e-07, Max Prob: 0.41931283473968506, Max Log Prob: -0.8691380023956299
Episode: 296, Loss: 0.00477428687736392, Reward: -20.0, Advantage: 4.037834244741134e-08, Max Prob: 0.4178166389465332, Max Log Prob: -0.8727126121520996
Episode: 300, Loss: 0.004587766248732805, Reward: -20.25, Advantage: -1.1072297922964935e-07, Max Prob: 0.4367159605026245, Max Log Prob: -0.8284722566604614
Episode: 304, Loss: 0.004484026227146387, Reward: -20.0, Advantage: -4.8848040279381166e-08, Max Prob: 0.4106888771057129, Max Log Prob: -0.8899193406105042
Episode: 308, Loss: -0.0007459054468199611, Reward: -20.25, Advantage: 3.635319600903131e-08, Max Prob: 0.41199618577957153, Max Log Prob: -0.8867411613464355
Episode: 312, Loss: -0.006040328647941351, Reward: -20.75, Advantage: -3.0838850761938374e-07, Max Prob: 0.449134886264801, Max Log Prob: -0.800432026386261
Episode: 316, Loss: -0.0006233211606740952, Reward: -20.5, Advantage: 1.7621962911107403e-07, Max Prob: 0.4524807631969452, Max Log Prob: -0.7930100560188293
Episode: 320, Loss: -0.007362127769738436, Reward: -20.75, Advantage: 1.0882958889624206e-07, Max Prob: 0.4468521475791931, Max Log Prob: -0.8055275082588196
Episode: 324, Loss: -0.007792117539793253, Reward: -20.25, Advantage: -1.1622581297388024e-07, Max Prob: 0.42053911089897156, Max Log Prob: -0.8662177920341492
Episode: 328, Loss: -0.003966760355979204, Reward: -20.5, Advantage: -3.347671508890926e-07, Max Prob: 0.4561948776245117, Max Log Prob: -0.7848352193832397
Episode: 332, Loss: 0.0012644133530557156, Reward: -20.75, Advantage: -2.908655289957096e-07, Max Prob: 0.46078604459762573, Max Log Prob: -0.7748214602470398
Episode: 336, Loss: 0.0011136532993987203, Reward: -20.25, Advantage: -3.15031591924253e-08, Max Prob: 0.41244789958000183, Max Log Prob: -0.8856453895568848
Episode: 340, Loss: -0.00021823607676196843, Reward: -20.25, Advantage: -1.9982870469448244e-07, Max Prob: 0.4599885046482086, Max Log Prob: -0.776553750038147
Episode: 344, Loss: -0.001553789828903973, Reward: -20.0, Advantage: -1.542976804103091e-07, Max Prob: 0.4448595643043518, Max Log Prob: -0.8099966049194336
Episode: 348, Loss: 0.0008074016077443957, Reward: -20.75, Advantage: -7.590202244500688e-08, Max Prob: 0.4667777121067047, Max Log Prob: -0.7619020938873291
Episode: 352, Loss: -0.002558368258178234, Reward: -20.0, Advantage: -6.560843246461445e-08, Max Prob: 0.4771401584148407, Max Log Prob: -0.7399449944496155
Episode: 356, Loss: 0.002687430242076516, Reward: -21.0, Advantage: -5.001498379897384e-07, Max Prob: 0.4148337244987488, Max Log Prob: -0.879877507686615
Episode: 360, Loss: -0.0028135015163570642, Reward: -20.0, Advantage: 4.23357064960328e-08, Max Prob: 0.40934455394744873, Max Log Prob: -0.8931980133056641
Episode: 364, Loss: -0.0014496557414531708, Reward: -20.25, Advantage: 6.513464256840962e-08, Max Prob: 0.44010743498802185, Max Log Prob: -0.8207364082336426
Episode: 368, Loss: -0.01045803539454937, Reward: -20.25, Advantage: -1.7479877101322927e-07, Max Prob: 0.44006088376045227, Max Log Prob: -0.8208422064781189
Episode: 372, Loss: 0.00133439339697361, Reward: -20.75, Advantage: 1.441059112039511e-07, Max Prob: 0.4278051555156708, Max Log Prob: -0.8490874171257019
Episode: 376, Loss: -0.00018685709801502526, Reward: -20.75, Advantage: -1.2803710980335836e-08, Max Prob: 0.41377100348472595, Max Log Prob: -0.8824425935745239
Episode: 380, Loss: -0.007476243656128645, Reward: -20.25, Advantage: -1.7383581507601775e-07, Max Prob: 0.42165547609329224, Max Log Prob: -0.8635666966438293
Episode: 384, Loss: 0.001463848166167736, Reward: -20.75, Advantage: 8.761164593806825e-08, Max Prob: 0.40342649817466736, Max Log Prob: -0.9077609777450562
Episode: 388, Loss: -0.0073409718461334705, Reward: -20.25, Advantage: 1.4241236101497634e-07, Max Prob: 0.44743508100509644, Max Log Prob: -0.8042238354682922
Episode: 392, Loss: -0.0012227656552568078, Reward: -20.5, Advantage: -6.0743587937395205e-09, Max Prob: 0.4016321897506714, Max Log Prob: -0.9122185707092285
Episode: 396, Loss: -0.0008959337719716132, Reward: -20.25, Advantage: -3.83433338413397e-08, Max Prob: 0.4005269408226013, Max Log Prob: -0.9149742126464844
Episode: 400, Loss: -0.010371382348239422, Reward: -19.75, Advantage: 1.6468870711605632e-08, Max Prob: 0.42887088656425476, Max Log Prob: -0.8465993404388428
Episode: 404, Loss: 0.00768505223095417, Reward: -20.75, Advantage: -2.3648805580478438e-08, Max Prob: 0.406892865896225, Max Log Prob: -0.8992053270339966
Episode: 408, Loss: 9.30629248614423e-05, Reward: -21.0, Advantage: -3.270373838404339e-08, Max Prob: 0.4093736410140991, Max Log Prob: -0.8931269645690918
