Using device: cuda
Epoch: 98 | Loss: 4.7363 | Reward: -20.25 | Advantage: 9.9035e-08 | Prob: 0.50244 | LogProb: -0.68828 | GradNorm: 1517.2 | Time (s): 15.161 | Total Time (m): 31.816
Epoch: 99 | Loss: 3.925 | Reward: -20.25 | Advantage: 8.6719e-08 | Prob: 0.50244 | LogProb: -0.68828 | GradNorm: 3523.1 | Time (s): 26.574 | Total Time (m): 32.259
Epoch: 100 | Loss: -6.5811 | Reward: -20.375 | Advantage: -1.4696e-07 | Prob: 0.50244 | LogProb: -0.68828 | GradNorm: 7892.3 | Time (s): 18.575 | Total Time (m): 32.568
Epoch: 101 | Loss: 1.6261 | Reward: -19.875 | Advantage: 3.515e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1282.6 | Time (s): 31.583 | Total Time (m): 33.095
Epoch: 102 | Loss: -7.8 | Reward: -20.875 | Advantage: -2.0726e-07 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 3334.2 | Time (s): 23.204 | Total Time (m): 33.481
Epoch: 103 | Loss: 1.5905 | Reward: -20.125 | Advantage: 3.1077e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 502.21 | Time (s): 24.526 | Total Time (m): 33.89
Epoch: 104 | Loss: 1.6984 | Reward: -20.75 | Advantage: 4.0645e-08 | Prob: 0.50342 | LogProb: -0.6873 | GradNorm: 2025.3 | Time (s): 26.458 | Total Time (m): 34.331
Epoch: 105 | Loss: 6.8044 | Reward: -20.375 | Advantage: 1.4252e-07 | Prob: 0.50342 | LogProb: -0.68633 | GradNorm: 1323.1 | Time (s): 18.673 | Total Time (m): 34.642
Epoch: 106 | Loss: -12.462 | Reward: -20.875 | Advantage: -2.8151e-07 | Prob: 0.50342 | LogProb: -0.6873 | GradNorm: 3387 | Time (s): 18.298 | Total Time (m): 34.947
Epoch: 107 | Loss: -4.1018 | Reward: -20.75 | Advantage: -9.0542e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1272.7 | Time (s): 18.695 | Total Time (m): 35.259
Epoch: 108 | Loss: -9.8352 | Reward: -19.875 | Advantage: -1.6481e-07 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 4479.9 | Time (s): 20.212 | Total Time (m): 35.596
Epoch: 109 | Loss: 3.0107 | Reward: -20.375 | Advantage: 6.3384e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1160.8 | Time (s): 17.431 | Total Time (m): 35.886
Epoch: 110 | Loss: -2.3181 | Reward: -20.625 | Advantage: -5.356e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 2138.5 | Time (s): 24.651 | Total Time (m): 36.297
Epoch: 111 | Loss: -2.5306 | Reward: -20.375 | Advantage: -5.7535e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1372.4 | Time (s): 14.091 | Total Time (m): 36.532
Epoch: 112 | Loss: -1.8539 | Reward: -20.625 | Advantage: -4.006e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 243.72 | Time (s): 16.259 | Total Time (m): 36.803
Epoch: 113 | Loss: -2.487 | Reward: -20.5 | Advantage: -5.7015e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1058 | Time (s): 17.198 | Total Time (m): 37.09
Epoch: 114 | Loss: 11.898 | Reward: -20.375 | Advantage: 2.6351e-07 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 3373.1 | Time (s): 17.178 | Total Time (m): 37.376
Epoch: 115 | Loss: 8.7051 | Reward: -20.875 | Advantage: 2.5071e-07 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 6366.5 | Time (s): 13.941 | Total Time (m): 37.608
Epoch: 116 | Loss: -1.3245 | Reward: -20.25 | Advantage: -2.7718e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 183.41 | Time (s): 20.746 | Total Time (m): 37.954
Epoch: 117 | Loss: -2.6083 | Reward: -20.625 | Advantage: -7.4633e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1126.7 | Time (s): 15.661 | Total Time (m): 38.215
Epoch: 118 | Loss: -4.5063 | Reward: -20.375 | Advantage: -9.4744e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 1045.7 | Time (s): 15.512 | Total Time (m): 38.473
Epoch: 119 | Loss: -2.8071 | Reward: -20.125 | Advantage: -4.9269e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 2271.3 | Time (s): 27.009 | Total Time (m): 38.924
Epoch: 120 | Loss: 0.10742 | Reward: -20.125 | Advantage: -1.7597e-09 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 15.727 | Time (s): 24.579 | Total Time (m): 39.333
Epoch: 121 | Loss: -2.1318 | Reward: -20.5 | Advantage: -4.458e-08 | Prob: 0.50293 | LogProb: -0.6873 | GradNorm: 383.36 | Time (s): 23.339 | Total Time (m): 39.722
