Using cuda device
Step: 396 | Reward: -20.75 | Advantage: -4.4552e-05 | Loss: 3.3916e-07 | Prob: 0.57967 | Log Prob: -0.84199 | Grad Norm: 0.013459 | Time: 8.3211 | Total Time: 18.572
Step: 400 | Reward: -20.5 | Advantage: -6.7642e-05 | Loss: -2.0099e-08 | Prob: 0.58235 | Log Prob: -0.54068 | Grad Norm: 0.0086913 | Time: 10.133 | Total Time: 18.741
Step: 404 | Reward: -20.75 | Advantage: -3.4664e-05 | Loss: 9.4329e-08 | Prob: 0.58386 | Log Prob: -0.53809 | Grad Norm: 0.008669 | Time: 7.3627 | Total Time: 18.864
Step: 408 | Reward: -21 | Advantage: -0.0001969 | Loss: -9.7667e-08 | Prob: 0.58452 | Log Prob: -0.85096 | Grad Norm: 0.020668 | Time: 9.5505 | Total Time: 19.023
Step: 412 | Reward: -20.75 | Advantage: 1.7996e-05 | Loss: -7.7874e-08 | Prob: 0.58616 | Log Prob: -0.53416 | Grad Norm: 0.0099299 | Time: 8.783 | Total Time: 19.169
Step: 416 | Reward: -20.25 | Advantage: 3.914e-05 | Loss: -3.0896e-08 | Prob: 0.58866 | Log Prob: -0.52991 | Grad Norm: 0.0077097 | Time: 9.2735 | Total Time: 19.324
Step: 420 | Reward: -21 | Advantage: 0.00022615 | Loss: -6.0997e-07 | Prob: 0.58974 | Log Prob: -0.52807 | Grad Norm: 0.019384 | Time: 7.5153 | Total Time: 19.449
Step: 424 | Reward: -20.75 | Advantage: -0.00010082 | Loss: 2.2032e-08 | Prob: 0.59298 | Log Prob: -0.87385 | Grad Norm: 0.020961 | Time: 9.4894 | Total Time: 19.607
Step: 428 | Reward: -20.5 | Advantage: 1.0019e-05 | Loss: -6.1151e-08 | Prob: 0.59596 | Log Prob: -0.51759 | Grad Norm: 0.0080079 | Time: 6.8619 | Total Time: 19.722
Step: 432 | Reward: -21 | Advantage: 0.00018944 | Loss: -1.3544e-07 | Prob: 0.59878 | Log Prob: -0.51286 | Grad Norm: 0.018485 | Time: 8.2286 | Total Time: 19.859
Step: 436 | Reward: -20.25 | Advantage: 0.0001694 | Loss: 4.126e-08 | Prob: 0.60129 | Log Prob: -0.89444 | Grad Norm: 0.012698 | Time: 9.9112 | Total Time: 20.024
Step: 440 | Reward: -20.75 | Advantage: 2.3988e-05 | Loss: 4.4276e-08 | Prob: 0.60409 | Log Prob: -0.50402 | Grad Norm: 0.0085485 | Time: 7.6948 | Total Time: 20.152
Step: 444 | Reward: -21 | Advantage: -0.00018992 | Loss: 2.3326e-07 | Prob: 0.60574 | Log Prob: -0.90435 | Grad Norm: 0.024574 | Time: 9.1903 | Total Time: 20.306
Step: 448 | Reward: -21 | Advantage: -8.006e-05 | Loss: -5.8207e-08 | Prob: 0.60888 | Log Prob: -0.91163 | Grad Norm: 0.016181 | Time: 7.8355 | Total Time: 20.436
Step: 452 | Reward: -21 | Advantage: 6.8142e-05 | Loss: 3.4191e-07 | Prob: 0.61189 | Log Prob: -0.49121 | Grad Norm: 0.013434 | Time: 7.1818 | Total Time: 20.556
Step: 456 | Reward: -21 | Advantage: 0.00011933 | Loss: -5.1787e-07 | Prob: 0.61412 | Log Prob: -0.48757 | Grad Norm: 0.012613 | Time: 6.1682 | Total Time: 20.659
Step: 460 | Reward: -21 | Advantage: 0.00015771 | Loss: -3.183e-08 | Prob: 0.6166 | Log Prob: -0.48354 | Grad Norm: 0.017663 | Time: 5.3179 | Total Time: 20.747
Step: 464 | Reward: -21 | Advantage: 0.00015572 | Loss: 1.1006e-06 | Prob: 0.62135 | Log Prob: -0.47587 | Grad Norm: 0.018521 | Time: 5.8166 | Total Time: 20.844
Step: 468 | Reward: -21 | Advantage: -0.00021858 | Loss: -3.9175e-08 | Prob: 0.62414 | Log Prob: -0.95142 | Grad Norm: 0.029123 | Time: 6.1829 | Total Time: 20.947
Step: 472 | Reward: -20.75 | Advantage: -0.00015067 | Loss: 1.5147e-07 | Prob: 0.62833 | Log Prob: -0.96269 | Grad Norm: 0.014774 | Time: 6.5932 | Total Time: 21.057
Step: 476 | Reward: -21 | Advantage: 9.8698e-05 | Loss: 2.147e-07 | Prob: 0.63259 | Log Prob: -0.45793 | Grad Norm: 0.019005 | Time: 5.9686 | Total Time: 21.157
Step: 480 | Reward: -21 | Advantage: -0.00027203 | Loss: 2.147e-07 | Prob: 0.63676 | Log Prob: -0.98477 | Grad Norm: 0.032945 | Time: 6.3275 | Total Time: 21.262
Step: 484 | Reward: -20.5 | Advantage: 6.5396e-05 | Loss: -2.3745e-07 | Prob: 0.64128 | Log Prob: -0.99883 | Grad Norm: 0.013549 | Time: 9.0539 | Total Time: 21.413
Step: 488 | Reward: -21 | Advantage: 0.00016613 | Loss: -4.6521e-08 | Prob: 0.6452 | Log Prob: -0.43819 | Grad Norm: 0.017195 | Time: 7.659 | Total Time: 21.541
Step: 492 | Reward: -21 | Advantage: -0.00030964 | Loss: 2.147e-07 | Prob: 0.6495 | Log Prob: -1.0186 | Grad Norm: 0.033526 | Time: 6.763 | Total Time: 21.653
Step: 496 | Reward: -21 | Advantage: -0.00022197 | Loss: 2.147e-07 | Prob: 0.6538 | Log Prob: -1.0315 | Grad Norm: 0.033424 | Time: 5.8236 | Total Time: 21.75
Step: 500 | Reward: -21 | Advantage: 0.00016979 | Loss: 2.147e-07 | Prob: 0.65853 | Log Prob: -0.41775 | Grad Norm: 0.017706 | Time: 6.9947 | Total Time: 21.867
Step: 504 | Reward: -21 | Advantage: 0.00020839 | Loss: 2.147e-07 | Prob: 0.66362 | Log Prob: -0.41005 | Grad Norm: 0.018277 | Time: 5.6086 | Total Time: 21.96
Step: 508 | Reward: -21 | Advantage: 0.000225 | Loss: 2.147e-07 | Prob: 0.66955 | Log Prob: -0.40114 | Grad Norm: 0.017856 | Time: 7.033 | Total Time: 22.078
Step: 512 | Reward: -21 | Advantage: -0.00043947 | Loss: 2.147e-07 | Prob: 0.67575 | Log Prob: -1.0979 | Grad Norm: 0.034616 | Time: 6.3175 | Total Time: 22.183
Step: 516 | Reward: -21 | Advantage: -0.00032703 | Loss: 2.147e-07 | Prob: 0.68288 | Log Prob: -1.1208 | Grad Norm: 0.034534 | Time: 6.8249 | Total Time: 22.297
Step: 520 | Reward: -21 | Advantage: -0.00041365 | Loss: 2.147e-07 | Prob: 0.68956 | Log Prob: -1.1399 | Grad Norm: 0.0353 | Time: 5.7726 | Total Time: 22.393
Step: 524 | Reward: -21 | Advantage: 0.0002487 | Loss: 2.147e-07 | Prob: 0.69795 | Log Prob: -0.3596 | Grad Norm: 0.016096 | Time: 5.7716 | Total Time: 22.489
Step: 528 | Reward: -21 | Advantage: -0.00053802 | Loss: 2.147e-07 | Prob: 0.70479 | Log Prob: -1.1872 | Grad Norm: 0.036095 | Time: 6.8197 | Total Time: 22.603
Step: 532 | Reward: -21 | Advantage: 0.00026601 | Loss: 5.3849e-08 | Prob: 0.71228 | Log Prob: -0.33929 | Grad Norm: 0.014137 | Time: 5.8665 | Total Time: 22.701
Step: 536 | Reward: -21 | Advantage: 0.00025731 | Loss: -5.238e-07 | Prob: 0.72123 | Log Prob: -0.3268 | Grad Norm: 0.013382 | Time: 7.6234 | Total Time: 22.828
Step: 540 | Reward: -21 | Advantage: -0.00080599 | Loss: 2.147e-07 | Prob: 0.73055 | Log Prob: -1.2794 | Grad Norm: 0.038759 | Time: 6.1343 | Total Time: 22.93
