Using device: cuda
Epoch: 49 | Loss: -0.51785 | Reward: -20.344 | Advantage: -0.7468 | Prob: 0.49878 | LogProg: -0.69343 | Time (s): 35.309 | Total Time (m): 29.202
Epoch: 50 | Loss: -0.48925 | Reward: -20.344 | Advantage: -0.7056 | Prob: 0.49878 | LogProg: -0.69338 | Time (s): 41.956 | Total Time (m): 29.901
Epoch: 51 | Loss: -0.44987 | Reward: -18.375 | Advantage: -0.64878 | Prob: 0.49878 | LogProg: -0.69341 | Time (s): 39.021 | Total Time (m): 30.552
Epoch: 52 | Loss: -0.49427 | Reward: -19.688 | Advantage: -0.71286 | Prob: 0.49878 | LogProg: -0.69336 | Time (s): 36.306 | Total Time (m): 31.157
Epoch: 53 | Loss: -0.50117 | Reward: -20.344 | Advantage: -0.72284 | Prob: 0.49878 | LogProg: -0.69333 | Time (s): 35.602 | Total Time (m): 31.75
Epoch: 54 | Loss: -0.3954 | Reward: -17.719 | Advantage: -0.57019 | Prob: 0.49878 | LogProg: -0.69346 | Time (s): 43.371 | Total Time (m): 32.473
Epoch: 55 | Loss: -0.52001 | Reward: -20.344 | Advantage: -0.74995 | Prob: 0.49878 | LogProg: -0.69339 | Time (s): 7.8662 | Total Time (m): 32.604
Epoch: 56 | Loss: -0.47228 | Reward: -20.344 | Advantage: -0.68105 | Prob: 0.49878 | LogProg: -0.69345 | Time (s): 42.505 | Total Time (m): 33.312
Epoch: 57 | Loss: -0.42788 | Reward: -19.031 | Advantage: -0.61709 | Prob: 0.49878 | LogProg: -0.69339 | Time (s): 43.003 | Total Time (m): 34.029
Epoch: 58 | Loss: -0.50564 | Reward: -20.344 | Advantage: -0.72925 | Prob: 0.49878 | LogProg: -0.69337 | Time (s): 6.634 | Total Time (m): 34.14
Epoch: 59 | Loss: -0.53717 | Reward: -21 | Advantage: -0.77508 | Prob: 0.49902 | LogProg: -0.69305 | Time (s): 31.62 | Total Time (m): 34.667
Epoch: 60 | Loss: -0.49241 | Reward: -19.688 | Advantage: -0.71042 | Prob: 0.49902 | LogProg: -0.69312 | Time (s): 35.349 | Total Time (m): 35.256
Epoch: 61 | Loss: -0.50368 | Reward: -21 | Advantage: -0.72665 | Prob: 0.49902 | LogProg: -0.69316 | Time (s): 41.948 | Total Time (m): 35.955
Epoch: 62 | Loss: -0.47908 | Reward: -19.688 | Advantage: -0.69119 | Prob: 0.49902 | LogProg: -0.69312 | Time (s): 39.603 | Total Time (m): 36.615
Epoch: 63 | Loss: -0.51187 | Reward: -21 | Advantage: -0.73842 | Prob: 0.49902 | LogProg: -0.6932 | Time (s): 39.462 | Total Time (m): 37.273
Epoch: 64 | Loss: -0.45584 | Reward: -19.031 | Advantage: -0.6579 | Prob: 0.49927 | LogProg: -0.69287 | Time (s): 40.772 | Total Time (m): 37.952
Epoch: 65 | Loss: -0.50877 | Reward: -20.344 | Advantage: -0.73423 | Prob: 0.49927 | LogProg: -0.69292 | Time (s): 37.219 | Total Time (m): 38.573
Epoch: 66 | Loss: -0.45617 | Reward: -19.031 | Advantage: -0.65835 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 37.139 | Total Time (m): 39.192
Epoch: 67 | Loss: -0.46344 | Reward: -19.688 | Advantage: -0.66888 | Prob: 0.49927 | LogProg: -0.69286 | Time (s): 37.286 | Total Time (m): 39.813
Epoch: 68 | Loss: -0.41359 | Reward: -18.375 | Advantage: -0.59691 | Prob: 0.49927 | LogProg: -0.69289 | Time (s): 39.553 | Total Time (m): 40.472
Epoch: 69 | Loss: -0.4923 | Reward: -20.344 | Advantage: -0.71023 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 38.464 | Total Time (m): 41.113
Epoch: 70 | Loss: -0.5323 | Reward: -21 | Advantage: -0.76795 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 37.168 | Total Time (m): 41.733
Epoch: 71 | Loss: -0.51206 | Reward: -21.328 | Advantage: -0.73871 | Prob: 0.49951 | LogProg: -0.69318 | Time (s): 41.017 | Total Time (m): 42.416
Epoch: 72 | Loss: -0.4536 | Reward: -19.031 | Advantage: -0.65443 | Prob: 0.49951 | LogProg: -0.69312 | Time (s): 40.748 | Total Time (m): 43.096
Epoch: 73 | Loss: -0.4808 | Reward: -19.688 | Advantage: -0.69365 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 39.1 | Total Time (m): 43.747
Epoch: 74 | Loss: -0.52755 | Reward: -20.344 | Advantage: -0.76107 | Prob: 0.49951 | LogProg: -0.69317 | Time (s): 33.684 | Total Time (m): 44.309
Epoch: 75 | Loss: -0.53151 | Reward: -20.344 | Advantage: -0.76683 | Prob: 0.49951 | LogProg: -0.69313 | Time (s): 33.026 | Total Time (m): 44.859
Epoch: 76 | Loss: -0.51924 | Reward: -20.344 | Advantage: -0.74908 | Prob: 0.49951 | LogProg: -0.69317 | Time (s): 33.274 | Total Time (m): 45.414
Epoch: 77 | Loss: -0.51751 | Reward: -21 | Advantage: -0.74664 | Prob: 0.49951 | LogProg: -0.69312 | Time (s): 38.452 | Total Time (m): 46.054
Epoch: 78 | Loss: -0.49852 | Reward: -19.688 | Advantage: -0.71895 | Prob: 0.49976 | LogProg: -0.69339 | Time (s): 34.992 | Total Time (m): 46.638
Epoch: 79 | Loss: -0.44156 | Reward: -19.688 | Advantage: -0.6368 | Prob: 0.49976 | LogProg: -0.6934 | Time (s): 42.151 | Total Time (m): 47.34
Epoch: 80 | Loss: -0.48177 | Reward: -19.688 | Advantage: -0.69479 | Prob: 0.49976 | LogProg: -0.6934 | Time (s): 36.103 | Total Time (m): 47.942
Epoch: 81 | Loss: -0.50024 | Reward: -19.688 | Advantage: -0.72171 | Prob: 0.49951 | LogProg: -0.69313 | Time (s): 34.513 | Total Time (m): 48.517
Epoch: 82 | Loss: -0.5131 | Reward: -20.344 | Advantage: -0.74027 | Prob: 0.49951 | LogProg: -0.69313 | Time (s): 35.026 | Total Time (m): 49.101
Epoch: 83 | Loss: -0.48643 | Reward: -19.688 | Advantage: -0.70176 | Prob: 0.49951 | LogProg: -0.69315 | Time (s): 37.804 | Total Time (m): 49.731
Epoch: 84 | Loss: -0.47796 | Reward: -20.344 | Advantage: -0.68954 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 39.489 | Total Time (m): 50.389
Epoch: 85 | Loss: -0.50208 | Reward: -20.344 | Advantage: -0.72436 | Prob: 0.49951 | LogProg: -0.69313 | Time (s): 36.026 | Total Time (m): 50.99
Epoch: 86 | Loss: -0.431 | Reward: -19.031 | Advantage: -0.6218 | Prob: 0.49951 | LogProg: -0.69314 | Time (s): 44.063 | Total Time (m): 51.724
Epoch: 87 | Loss: -0.52608 | Reward: -21.328 | Advantage: -0.75896 | Prob: 0.49951 | LogProg: -0.69316 | Time (s): 38.206 | Total Time (m): 52.361
