Using device: cuda
Epoch: 127 | Loss: 1.3599e-08 | Reward: -0.018 | Time (s): 10.846 | Total Time (m): 42.621
Epoch: 128 | Loss: 3.0571e-08 | Reward: -0.018 | Time (s): 21.623 | Total Time (m): 42.982
Epoch: 129 | Loss: 5.785e-08 | Reward: -0.018 | Time (s): 21.721 | Total Time (m): 43.344
Epoch: 130 | Loss: 4.8378e-08 | Reward: -0.018 | Time (s): 21.868 | Total Time (m): 43.708
Epoch: 131 | Loss: 1.6962e-07 | Reward: -0.022 | Time (s): 21.959 | Total Time (m): 44.074
Epoch: 132 | Loss: 2.2266e-07 | Reward: -0.017 | Time (s): 22.34 | Total Time (m): 44.447
Epoch: 133 | Loss: 5.4234e-08 | Reward: -0.0195 | Time (s): 21.56 | Total Time (m): 44.806
Epoch: 134 | Loss: 8.7357e-08 | Reward: -0.019 | Time (s): 21.795 | Total Time (m): 45.169
Epoch: 135 | Loss: 1.6618e-07 | Reward: -0.0215 | Time (s): 21.573 | Total Time (m): 45.529
Epoch: 136 | Loss: 3.3127e-08 | Reward: -0.0185 | Time (s): 21.282 | Total Time (m): 45.883
Epoch: 137 | Loss: 1.3229e-08 | Reward: -0.022 | Time (s): 21.566 | Total Time (m): 46.243
Epoch: 138 | Loss: 1.2864e-07 | Reward: -0.0215 | Time (s): 21.762 | Total Time (m): 46.606
Epoch: 139 | Loss: -2.4864e-08 | Reward: -0.021 | Time (s): 21.794 | Total Time (m): 46.969
Epoch: 140 | Loss: 1.2926e-07 | Reward: -0.023 | Time (s): 22.057 | Total Time (m): 47.336
Epoch: 141 | Loss: 1.1719e-07 | Reward: -0.0215 | Time (s): 21.91 | Total Time (m): 47.702
Epoch: 142 | Loss: 1.8419e-07 | Reward: -0.014 | Time (s): 21.328 | Total Time (m): 48.057
Epoch: 143 | Loss: 1.827e-07 | Reward: -0.022 | Time (s): 21.564 | Total Time (m): 48.417
Epoch: 144 | Loss: -7.5428e-08 | Reward: -0.021 | Time (s): 21.596 | Total Time (m): 48.776
Epoch: 145 | Loss: 2.0033e-07 | Reward: -0.018 | Time (s): 21.777 | Total Time (m): 49.139
Epoch: 146 | Loss: -7.8735e-09 | Reward: -0.019 | Time (s): 21.852 | Total Time (m): 49.504
Epoch: 147 | Loss: 2.6442e-07 | Reward: -0.018 | Time (s): 21.65 | Total Time (m): 49.864
Epoch: 148 | Loss: 1.0459e-07 | Reward: -0.0205 | Time (s): 21.312 | Total Time (m): 50.22
Epoch: 149 | Loss: 1.8414e-07 | Reward: -0.0195 | Time (s): 21.721 | Total Time (m): 50.582
Epoch: 150 | Loss: 1.921e-07 | Reward: -0.023 | Time (s): 21.51 | Total Time (m): 50.94
Epoch: 151 | Loss: 1.702e-07 | Reward: -0.018 | Time (s): 21.596 | Total Time (m): 51.3
Epoch: 152 | Loss: 9.7992e-08 | Reward: -0.021 | Time (s): 21.952 | Total Time (m): 51.666
Epoch: 153 | Loss: 1.2891e-07 | Reward: -0.021 | Time (s): 21.993 | Total Time (m): 52.032
Epoch: 154 | Loss: 3.833e-08 | Reward: -0.0215 | Time (s): 21.373 | Total Time (m): 52.389
Epoch: 155 | Loss: 2.1523e-07 | Reward: -0.019 | Time (s): 21.4 | Total Time (m): 52.745
Epoch: 156 | Loss: 4.7546e-08 | Reward: -0.0195 | Time (s): 21.72 | Total Time (m): 53.107
Epoch: 157 | Loss: 9.8328e-08 | Reward: -0.02 | Time (s): 21.532 | Total Time (m): 53.466
Epoch: 158 | Loss: 2.6537e-08 | Reward: -0.018 | Time (s): 21.523 | Total Time (m): 53.825
Epoch: 159 | Loss: 3.4085e-07 | Reward: -0.0155 | Time (s): 21.34 | Total Time (m): 54.181
Epoch: 160 | Loss: 2.6102e-07 | Reward: -0.0205 | Time (s): 21.887 | Total Time (m): 54.545
Epoch: 161 | Loss: -1.3569e-08 | Reward: -0.019 | Time (s): 2.4058 | Total Time (m): 54.585
Epoch: 162 | Loss: -1.8629e-08 | Reward: -0.022 | Time (s): 7.7447 | Total Time (m): 54.715
Epoch: 163 | Loss: 7.6851e-08 | Reward: -0.0215 | Time (s): 16.735 | Total Time (m): 54.993
Epoch: 164 | Loss: 4.0466e-08 | Reward: -0.021 | Time (s): 21.902 | Total Time (m): 55.359
Epoch: 165 | Loss: 2.9453e-07 | Reward: -0.022 | Time (s): 21.339 | Total Time (m): 55.714
Epoch: 166 | Loss: 1.7938e-07 | Reward: -0.0205 | Time (s): 21.568 | Total Time (m): 56.074
Epoch: 167 | Loss: 2.227e-08 | Reward: -0.018 | Time (s): 22.053 | Total Time (m): 56.441
Epoch: 168 | Loss: -3.9627e-08 | Reward: -0.0205 | Time (s): 21.755 | Total Time (m): 56.804
Epoch: 169 | Loss: 2.2114e-07 | Reward: -0.021 | Time (s): 21.627 | Total Time (m): 57.164
Epoch: 170 | Loss: -8.7822e-08 | Reward: -0.0215 | Time (s): 19.749 | Total Time (m): 57.493
Epoch: 171 | Loss: 4.541e-08 | Reward: -0.021 | Time (s): 21.317 | Total Time (m): 57.849
Epoch: 172 | Loss: -8.4152e-09 | Reward: -0.019 | Time (s): 21.524 | Total Time (m): 58.207
Epoch: 173 | Loss: 1.3465e-07 | Reward: -0.0215 | Time (s): 21.252 | Total Time (m): 58.562
Epoch: 174 | Loss: 5.1765e-08 | Reward: -0.0205 | Time (s): 21.787 | Total Time (m): 58.925
Epoch: 175 | Loss: 3.3539e-07 | Reward: -0.019 | Time (s): 21.33 | Total Time (m): 59.28
Epoch: 176 | Loss: 2.1896e-09 | Reward: -0.024 | Time (s): 21.493 | Total Time (m): 59.638
Epoch: 177 | Loss: 4.7706e-07 | Reward: -0.023 | Time (s): 21.769 | Total Time (m): 60.001
Epoch: 178 | Loss: 5.7229e-07 | Reward: -0.0185 | Time (s): 22.044 | Total Time (m): 60.369
Epoch: 179 | Loss: 8.7841e-08 | Reward: -0.0195 | Time (s): 21.701 | Total Time (m): 60.73
Epoch: 180 | Loss: 8.9737e-08 | Reward: -0.022 | Time (s): 22.003 | Total Time (m): 61.097
Epoch: 181 | Loss: 2.8613e-07 | Reward: -0.0185 | Time (s): 21.791 | Total Time (m): 61.46
Epoch: 182 | Loss: 6.6582e-08 | Reward: -0.0185 | Time (s): 22.146 | Total Time (m): 61.829
Epoch: 183 | Loss: 1.8615e-07 | Reward: -0.0215 | Time (s): 21.241 | Total Time (m): 62.183
Epoch: 184 | Loss: 7.7202e-08 | Reward: -0.0205 | Time (s): 21.829 | Total Time (m): 62.547
Epoch: 185 | Loss: 1.252e-07 | Reward: -0.0185 | Time (s): 21.797 | Total Time (m): 62.91
Epoch: 186 | Loss: 2.1956e-07 | Reward: -0.0215 | Time (s): 22.466 | Total Time (m): 63.285
Epoch: 187 | Loss: 2.2396e-07 | Reward: -0.0185 | Time (s): 21.257 | Total Time (m): 63.639
Epoch: 188 | Loss: 2.7552e-07 | Reward: -0.0185 | Time (s): 21.701 | Total Time (m): 64.001
Epoch: 189 | Loss: -4.3446e-08 | Reward: -0.019 | Time (s): 21.976 | Total Time (m): 64.367
Epoch: 190 | Loss: -1.3526e-07 | Reward: -0.0205 | Time (s): 21.575 | Total Time (m): 64.727
Epoch: 191 | Loss: 2.8112e-07 | Reward: -0.023 | Time (s): 21.853 | Total Time (m): 65.091
Epoch: 192 | Loss: 1.0266e-07 | Reward: -0.0165 | Time (s): 21.06 | Total Time (m): 65.442
Epoch: 193 | Loss: 2.1967e-07 | Reward: -0.022 | Time (s): 21.445 | Total Time (m): 65.799
Epoch: 194 | Loss: 5.7266e-08 | Reward: -0.018 | Time (s): 22.155 | Total Time (m): 66.169
Epoch: 195 | Loss: 2.1218e-07 | Reward: -0.0165 | Time (s): 21.705 | Total Time (m): 66.53
Epoch: 196 | Loss: 4.3724e-08 | Reward: -0.0215 | Time (s): 21.634 | Total Time (m): 66.891
Epoch: 197 | Loss: 1.5958e-07 | Reward: -0.019 | Time (s): 21.992 | Total Time (m): 67.257
Epoch: 198 | Loss: 1.2646e-07 | Reward: -0.0205 | Time (s): 21.57 | Total Time (m): 67.617
Epoch: 199 | Loss: 1.1378e-07 | Reward: -0.023 | Time (s): 21.948 | Total Time (m): 67.983
Epoch: 200 | Loss: 2.9985e-07 | Reward: -0.018 | Time (s): 21.97 | Total Time (m): 68.349
Epoch: 201 | Loss: 1.4008e-07 | Reward: -0.0205 | Time (s): 21.743 | Total Time (m): 68.711
Epoch: 202 | Loss: 7.6542e-09 | Reward: -0.02 | Time (s): 21.935 | Total Time (m): 69.077
Epoch: 203 | Loss: 2.4273e-08 | Reward: -0.018 | Time (s): 21.426 | Total Time (m): 69.434
Epoch: 204 | Loss: 9.14e-09 | Reward: -0.0175 | Time (s): 21.582 | Total Time (m): 69.794
Epoch: 205 | Loss: 7.7103e-08 | Reward: -0.0165 | Time (s): 21.527 | Total Time (m): 70.152
Epoch: 206 | Loss: 6.6956e-08 | Reward: -0.0175 | Time (s): 21.765 | Total Time (m): 70.515
Epoch: 207 | Loss: 1.3498e-07 | Reward: -0.0205 | Time (s): 19.82 | Total Time (m): 70.846
Epoch: 208 | Loss: 1.2502e-07 | Reward: -0.0215 | Time (s): 21.488 | Total Time (m): 71.204
Epoch: 209 | Loss: 2.8883e-07 | Reward: -0.0205 | Time (s): 21.608 | Total Time (m): 71.564
Epoch: 210 | Loss: 4.2534e-08 | Reward: -0.0185 | Time (s): 21.859 | Total Time (m): 71.928
Epoch: 211 | Loss: 3.3804e-07 | Reward: -0.0215 | Time (s): 21.329 | Total Time (m): 72.284
Epoch: 212 | Loss: -8.7875e-08 | Reward: -0.0175 | Time (s): 21.742 | Total Time (m): 72.646
