Using device: cuda
Epoch: 68 | Loss: -0.20755 | Reward: -19.688 | Advantage: -0.68959 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.00532 | Time (s): 19.821 | Total Time (m): 22.502
Epoch: 69 | Loss: -0.21441 | Reward: -19.688 | Advantage: -0.71227 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.0017523 | Time (s): 18.185 | Total Time (m): 22.805
Epoch: 70 | Loss: -0.18837 | Reward: -19.031 | Advantage: -0.62575 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0025646 | Time (s): 23.126 | Total Time (m): 23.19
Epoch: 71 | Loss: -0.20131 | Reward: -19.031 | Advantage: -0.66883 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0038615 | Time (s): 19.971 | Total Time (m): 23.523
Epoch: 72 | Loss: -0.22661 | Reward: -21 | Advantage: -0.7528 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0026268 | Time (s): 19.801 | Total Time (m): 23.853
Epoch: 73 | Loss: -0.21296 | Reward: -20.344 | Advantage: -0.70743 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0016757 | Time (s): 21.241 | Total Time (m): 24.207
Epoch: 74 | Loss: -0.20013 | Reward: -19.031 | Advantage: -0.66483 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0013929 | Time (s): 19.815 | Total Time (m): 24.537
Epoch: 75 | Loss: -0.21095 | Reward: -20.344 | Advantage: -0.7008 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0021865 | Time (s): 20.096 | Total Time (m): 24.872
Epoch: 76 | Loss: -0.22689 | Reward: -20.344 | Advantage: -0.75367 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0025531 | Time (s): 18.031 | Total Time (m): 25.173
Epoch: 77 | Loss: -0.18722 | Reward: -18.375 | Advantage: -0.62205 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0051725 | Time (s): 20.344 | Total Time (m): 25.512
Epoch: 78 | Loss: -0.17894 | Reward: -17.719 | Advantage: -0.59446 | Prob: 0.50244 | LogProb: -0.29891 | GradNorm: 0.0010741 | Time (s): 19.029 | Total Time (m): 25.829
Epoch: 79 | Loss: -0.21424 | Reward: -19.688 | Advantage: -0.71166 | Prob: 0.50244 | LogProb: -0.29891 | GradNorm: 0.0028062 | Time (s): 19.713 | Total Time (m): 26.157
Epoch: 80 | Loss: -0.20579 | Reward: -19.688 | Advantage: -0.68353 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0063165 | Time (s): 18.795 | Total Time (m): 26.471
Epoch: 81 | Loss: -0.23249 | Reward: -21 | Advantage: -0.77232 | Prob: 0.50293 | LogProb: -0.29891 | GradNorm: 0.0012016 | Time (s): 18.898 | Total Time (m): 26.786
Epoch: 82 | Loss: -0.2241 | Reward: -20.344 | Advantage: -0.74444 | Prob: 0.50244 | LogProb: -0.29891 | GradNorm: 0.0014392 | Time (s): 19.229 | Total Time (m): 27.106
Epoch: 83 | Loss: -0.22143 | Reward: -21 | Advantage: -0.73551 | Prob: 0.50293 | LogProb: -0.29891 | GradNorm: 0.0048439 | Time (s): 21.168 | Total Time (m): 27.459
Epoch: 84 | Loss: -0.21636 | Reward: -20.344 | Advantage: -0.71869 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0019703 | Time (s): 20.25 | Total Time (m): 27.796
Epoch: 85 | Loss: -0.20498 | Reward: -19.688 | Advantage: -0.68093 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0010378 | Time (s): 20.314 | Total Time (m): 28.135
Epoch: 86 | Loss: -0.19302 | Reward: -19.031 | Advantage: -0.64113 | Prob: 0.50293 | LogProb: -0.29849 | GradNorm: 0.0024403 | Time (s): 22.038 | Total Time (m): 28.502
Epoch: 87 | Loss: -0.18533 | Reward: -18.375 | Advantage: -0.6156 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.003615 | Time (s): 20.923 | Total Time (m): 28.851
Epoch: 88 | Loss: -0.22169 | Reward: -20.344 | Advantage: -0.73632 | Prob: 0.50342 | LogProb: -0.29807 | GradNorm: 0.0051494 | Time (s): 20.232 | Total Time (m): 29.188
Epoch: 89 | Loss: -0.1953 | Reward: -19.031 | Advantage: -0.64881 | Prob: 0.50391 | LogProb: -0.29807 | GradNorm: 0.0018322 | Time (s): 21.169 | Total Time (m): 29.541
Epoch: 90 | Loss: -0.2026 | Reward: -19.031 | Advantage: -0.67314 | Prob: 0.50391 | LogProb: -0.29765 | GradNorm: 0.0059918 | Time (s): 19.963 | Total Time (m): 29.874
Epoch: 91 | Loss: -0.18423 | Reward: -19.031 | Advantage: -0.61196 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.002822 | Time (s): 21.159 | Total Time (m): 30.226
Epoch: 92 | Loss: -0.20723 | Reward: -20.344 | Advantage: -0.6886 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.007504 | Time (s): 21.682 | Total Time (m): 30.588
Epoch: 93 | Loss: -0.22035 | Reward: -20.344 | Advantage: -0.73184 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0079308 | Time (s): 19.453 | Total Time (m): 30.912
Epoch: 94 | Loss: -0.21425 | Reward: -20.344 | Advantage: -0.71183 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0033904 | Time (s): 20.54 | Total Time (m): 31.254
Epoch: 95 | Loss: -0.21109 | Reward: -20.344 | Advantage: -0.70105 | Prob: 0.50439 | LogProb: -0.29723 | GradNorm: 0.0077357 | Time (s): 21.585 | Total Time (m): 31.614
Epoch: 96 | Loss: -0.21098 | Reward: -19.688 | Advantage: -0.70082 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.0044181 | Time (s): 19.782 | Total Time (m): 31.944
Epoch: 97 | Loss: -0.22155 | Reward: -20.344 | Advantage: -0.73594 | Prob: 0.50488 | LogProb: -0.29681 | GradNorm: 0.004092 | Time (s): 19.413 | Total Time (m): 32.267
Epoch: 98 | Loss: -0.20998 | Reward: -19.688 | Advantage: -0.69779 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0095745 | Time (s): 20.728 | Total Time (m): 32.613
Epoch: 99 | Loss: -0.22555 | Reward: -21 | Advantage: -0.74949 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0064955 | Time (s): 17.963 | Total Time (m): 32.912
Epoch: 100 | Loss: -0.21243 | Reward: -21 | Advantage: -0.70584 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0047826 | Time (s): 23.743 | Total Time (m): 33.308
Epoch: 101 | Loss: -0.22407 | Reward: -20.344 | Advantage: -0.74445 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0042291 | Time (s): 18.401 | Total Time (m): 33.615
Epoch: 102 | Loss: -0.21264 | Reward: -19.688 | Advantage: -0.70605 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.014632 | Time (s): 19.373 | Total Time (m): 33.937
Epoch: 103 | Loss: -0.19955 | Reward: -19.688 | Advantage: -0.66302 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0043648 | Time (s): 21.207 | Total Time (m): 34.291
Epoch: 104 | Loss: -0.22814 | Reward: -21 | Advantage: -0.75828 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.014016 | Time (s): 19.666 | Total Time (m): 34.619
Epoch: 105 | Loss: -0.22142 | Reward: -20.344 | Advantage: -0.73543 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.006114 | Time (s): 19.268 | Total Time (m): 34.94
Epoch: 106 | Loss: -0.2082 | Reward: -19.688 | Advantage: -0.6916 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.00216 | Time (s): 20.59 | Total Time (m): 35.283
Epoch: 107 | Loss: -0.20558 | Reward: -19.688 | Advantage: -0.68306 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.003321 | Time (s): 18.862 | Total Time (m): 35.597
Epoch: 108 | Loss: -0.21953 | Reward: -20.344 | Advantage: -0.72927 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.002126 | Time (s): 20.447 | Total Time (m): 35.938
Epoch: 109 | Loss: -0.21074 | Reward: -19.688 | Advantage: -0.70008 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0024642 | Time (s): 19.81 | Total Time (m): 36.268
Epoch: 110 | Loss: -0.20987 | Reward: -20.344 | Advantage: -0.69695 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.010414 | Time (s): 19.647 | Total Time (m): 36.596
Epoch: 111 | Loss: -0.21096 | Reward: -19.688 | Advantage: -0.70086 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.0032228 | Time (s): 18.153 | Total Time (m): 36.898
Epoch: 112 | Loss: -0.20441 | Reward: -19.031 | Advantage: -0.6788 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.011947 | Time (s): 19.619 | Total Time (m): 37.225
Epoch: 113 | Loss: -0.19937 | Reward: -19.031 | Advantage: -0.66259 | Prob: 0.50537 | LogProb: -0.29639 | GradNorm: 0.010984 | Time (s): 16.501 | Total Time (m): 37.5
Epoch: 114 | Loss: -0.21022 | Reward: -19.688 | Advantage: -0.69845 | Prob: 0.50586 | LogProb: -0.29639 | GradNorm: 0.0038249 | Time (s): 14.308 | Total Time (m): 37.739
Epoch: 115 | Loss: -0.23414 | Reward: -21 | Advantage: -0.77806 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0082623 | Time (s): 19.06 | Total Time (m): 38.056
Epoch: 116 | Loss: -0.20108 | Reward: -19.031 | Advantage: -0.66789 | Prob: 0.50586 | LogProb: -0.29597 | GradNorm: 0.0044075 | Time (s): 20.293 | Total Time (m): 38.395
