Using device: cuda
Epoch: 89 | Loss: 0.47081 | Reward: -19.031 | Advantage: -0.67927 | Prob: 0.49829 | LogProb: 0.69952 | GradNorm: 0.0049801 | Time (s): 18.733 | Total Time (m): 30.885
Epoch: 90 | Loss: 0.54468 | Reward: -21 | Advantage: -0.78588 | Prob: 0.49829 | LogProb: 0.70001 | GradNorm: 0.0045566 | Time (s): 18.503 | Total Time (m): 31.193
Epoch: 91 | Loss: 0.4623 | Reward: -19.688 | Advantage: -0.66703 | Prob: 0.49805 | LogProb: 0.70001 | GradNorm: 0.0032492 | Time (s): 21.929 | Total Time (m): 31.559
Epoch: 92 | Loss: 0.45623 | Reward: -19.688 | Advantage: -0.65821 | Prob: 0.49805 | LogProb: 0.70001 | GradNorm: 0.0046088 | Time (s): 20.161 | Total Time (m): 31.895
Epoch: 93 | Loss: 0.51961 | Reward: -20.344 | Advantage: -0.74983 | Prob: 0.4978 | LogProb: 0.70001 | GradNorm: 0.0112 | Time (s): 18.457 | Total Time (m): 32.202
Epoch: 94 | Loss: 0.34634 | Reward: -16.406 | Advantage: -0.4997 | Prob: 0.49805 | LogProb: 0.7005 | GradNorm: 0.002336 | Time (s): 23.351 | Total Time (m): 32.591
Epoch: 95 | Loss: 0.47405 | Reward: -19.688 | Advantage: -0.68389 | Prob: 0.49805 | LogProb: 0.7005 | GradNorm: 0.0016937 | Time (s): 21.101 | Total Time (m): 32.943
Epoch: 96 | Loss: 0.49003 | Reward: -20.344 | Advantage: -0.70696 | Prob: 0.4978 | LogProb: 0.70099 | GradNorm: 0.0056387 | Time (s): 21.165 | Total Time (m): 33.296
Epoch: 97 | Loss: 0.47052 | Reward: -19.688 | Advantage: -0.67858 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.013318 | Time (s): 20.816 | Total Time (m): 33.643
Epoch: 98 | Loss: 0.4877 | Reward: -19.688 | Advantage: -0.70349 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.0021241 | Time (s): 19.794 | Total Time (m): 33.973
Epoch: 99 | Loss: 0.40647 | Reward: -17.719 | Advantage: -0.58635 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.0011986 | Time (s): 20.049 | Total Time (m): 34.307
Epoch: 100 | Loss: 0.46374 | Reward: -19.688 | Advantage: -0.66887 | Prob: 0.4978 | LogProb: 0.70099 | GradNorm: 0.007609 | Time (s): 20.896 | Total Time (m): 34.655
Epoch: 101 | Loss: 0.52505 | Reward: -21 | Advantage: -0.75746 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.0031418 | Time (s): 19.657 | Total Time (m): 34.983
Epoch: 102 | Loss: 0.51019 | Reward: -20.344 | Advantage: -0.73592 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.0045301 | Time (s): 20.089 | Total Time (m): 35.318
Epoch: 103 | Loss: 0.49954 | Reward: -20.344 | Advantage: -0.7205 | Prob: 0.4978 | LogProb: 0.70099 | GradNorm: 0.0086355 | Time (s): 20.431 | Total Time (m): 35.658
Epoch: 104 | Loss: 0.54451 | Reward: -21 | Advantage: -0.78574 | Prob: 0.4978 | LogProb: 0.7005 | GradNorm: 0.021264 | Time (s): 18.255 | Total Time (m): 35.962
Epoch: 105 | Loss: 0.51259 | Reward: -20.344 | Advantage: -0.73961 | Prob: 0.4978 | LogProb: 0.70099 | GradNorm: 0.014617 | Time (s): 19.176 | Total Time (m): 36.282
Epoch: 106 | Loss: 0.46042 | Reward: -19.031 | Advantage: -0.66439 | Prob: 0.4978 | LogProb: 0.70099 | GradNorm: 0.013161 | Time (s): 20.956 | Total Time (m): 36.631
Epoch: 107 | Loss: 0.46126 | Reward: -19.031 | Advantage: -0.66554 | Prob: 0.49756 | LogProb: 0.70148 | GradNorm: 0.0042799 | Time (s): 20.28 | Total Time (m): 36.969
Epoch: 108 | Loss: 0.53589 | Reward: -21 | Advantage: -0.77331 | Prob: 0.49731 | LogProb: 0.70148 | GradNorm: 0.0068432 | Time (s): 18.743 | Total Time (m): 37.282
Epoch: 109 | Loss: 0.47716 | Reward: -20.344 | Advantage: -0.68844 | Prob: 0.49707 | LogProb: 0.70198 | GradNorm: 0.0048099 | Time (s): 21.264 | Total Time (m): 37.636
Epoch: 110 | Loss: 0.47209 | Reward: -19.688 | Advantage: -0.68115 | Prob: 0.49707 | LogProb: 0.70198 | GradNorm: 0.0028215 | Time (s): 20.711 | Total Time (m): 37.981
Epoch: 111 | Loss: 0.4288 | Reward: -18.375 | Advantage: -0.61864 | Prob: 0.49707 | LogProb: 0.70247 | GradNorm: 0.0029866 | Time (s): 20.878 | Total Time (m): 38.329
Epoch: 112 | Loss: 0.45794 | Reward: -19.031 | Advantage: -0.66064 | Prob: 0.49683 | LogProb: 0.70296 | GradNorm: 0.0021403 | Time (s): 20.255 | Total Time (m): 38.667
Epoch: 113 | Loss: 0.45966 | Reward: -19.688 | Advantage: -0.66305 | Prob: 0.49658 | LogProb: 0.70296 | GradNorm: 0.0042724 | Time (s): 21.408 | Total Time (m): 39.023
Epoch: 114 | Loss: 0.45957 | Reward: -19.688 | Advantage: -0.66278 | Prob: 0.49658 | LogProb: 0.70345 | GradNorm: 0.013262 | Time (s): 22.616 | Total Time (m): 39.4
Epoch: 115 | Loss: 0.43325 | Reward: -19.031 | Advantage: -0.62524 | Prob: 0.49634 | LogProb: 0.70345 | GradNorm: 0.012897 | Time (s): 19.677 | Total Time (m): 39.728
Epoch: 116 | Loss: 0.53919 | Reward: -21 | Advantage: -0.77794 | Prob: 0.49658 | LogProb: 0.70345 | GradNorm: 0.0029637 | Time (s): 18.749 | Total Time (m): 40.041
Epoch: 117 | Loss: 0.52325 | Reward: -21 | Advantage: -0.75462 | Prob: 0.49634 | LogProb: 0.70345 | GradNorm: 0.022265 | Time (s): 21.109 | Total Time (m): 40.393
Epoch: 118 | Loss: 0.49732 | Reward: -19.688 | Advantage: -0.71735 | Prob: 0.49634 | LogProb: 0.70345 | GradNorm: 0.012796 | Time (s): 18.014 | Total Time (m): 40.693
Epoch: 119 | Loss: 0.48269 | Reward: -19.688 | Advantage: -0.69649 | Prob: 0.49658 | LogProb: 0.70296 | GradNorm: 0.0069003 | Time (s): 18.682 | Total Time (m): 41.004
Epoch: 120 | Loss: 0.47258 | Reward: -19.688 | Advantage: -0.68163 | Prob: 0.49658 | LogProb: 0.70296 | GradNorm: 0.011443 | Time (s): 20.92 | Total Time (m): 41.353
Epoch: 121 | Loss: 0.3388 | Reward: -16.406 | Advantage: -0.48874 | Prob: 0.49658 | LogProb: 0.70296 | GradNorm: 0.0019818 | Time (s): 18.56 | Total Time (m): 41.662
Epoch: 122 | Loss: 0.47271 | Reward: -19.688 | Advantage: -0.68196 | Prob: 0.49658 | LogProb: 0.70296 | GradNorm: 0.0044448 | Time (s): 17.427 | Total Time (m): 41.953
Epoch: 123 | Loss: 0.46374 | Reward: -19.031 | Advantage: -0.66893 | Prob: 0.49683 | LogProb: 0.70296 | GradNorm: 0.0022331 | Time (s): 19.11 | Total Time (m): 42.271
Epoch: 124 | Loss: 0.48223 | Reward: -20.344 | Advantage: -0.69546 | Prob: 0.49683 | LogProb: 0.70296 | GradNorm: 0.014502 | Time (s): 21.776 | Total Time (m): 42.634
Epoch: 125 | Loss: 0.4292 | Reward: -18.375 | Advantage: -0.6191 | Prob: 0.49683 | LogProb: 0.70247 | GradNorm: 0.010473 | Time (s): 17.837 | Total Time (m): 42.931
Epoch: 126 | Loss: 0.50159 | Reward: -20.344 | Advantage: -0.72351 | Prob: 0.49683 | LogProb: 0.70247 | GradNorm: 0.013576 | Time (s): 16.722 | Total Time (m): 43.21
Epoch: 127 | Loss: 0.43443 | Reward: -19.031 | Advantage: -0.62703 | Prob: 0.49707 | LogProb: 0.70198 | GradNorm: 0.012762 | Time (s): 21.524 | Total Time (m): 43.569
Epoch: 128 | Loss: 0.49207 | Reward: -19.688 | Advantage: -0.7099 | Prob: 0.49731 | LogProb: 0.70148 | GradNorm: 0.0094509 | Time (s): 18.942 | Total Time (m): 43.885
Epoch: 129 | Loss: 0.48385 | Reward: -20.344 | Advantage: -0.69805 | Prob: 0.49756 | LogProb: 0.70148 | GradNorm: 0.00211 | Time (s): 20.439 | Total Time (m): 44.225
Epoch: 130 | Loss: 0.44068 | Reward: -18.375 | Advantage: -0.63553 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.017343 | Time (s): 21.41 | Total Time (m): 44.582
Epoch: 131 | Loss: 0.45772 | Reward: -19.031 | Advantage: -0.66041 | Prob: 0.49756 | LogProb: 0.70099 | GradNorm: 0.009362 | Time (s): 19.429 | Total Time (m): 44.906
Epoch: 132 | Loss: 0.38096 | Reward: -17.062 | Advantage: -0.54967 | Prob: 0.4978 | LogProb: 0.7005 | GradNorm: 0.0054986 | Time (s): 23.977 | Total Time (m): 45.305
Epoch: 133 | Loss: 0.50012 | Reward: -21 | Advantage: -0.72155 | Prob: 0.4978 | LogProb: 0.70001 | GradNorm: 0.0021612 | Time (s): 19.577 | Total Time (m): 45.632
Epoch: 134 | Loss: 0.47872 | Reward: -19.688 | Advantage: -0.6908 | Prob: 0.49805 | LogProb: 0.70001 | GradNorm: 0.0086941 | Time (s): 21.914 | Total Time (m): 45.997
Epoch: 135 | Loss: 0.5287 | Reward: -20.344 | Advantage: -0.76294 | Prob: 0.49805 | LogProb: 0.70001 | GradNorm: 0.010894 | Time (s): 17.957 | Total Time (m): 46.296
Epoch: 136 | Loss: 0.43627 | Reward: -19.031 | Advantage: -0.6295 | Prob: 0.49805 | LogProb: 0.70001 | GradNorm: 0.0027446 | Time (s): 24.657 | Total Time (m): 46.707
