Using device: cuda
Episode: 1056, Reward: -17.875, Advantage: -2.8887356368887565e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00024568, Time: 24.58s, Total Time: 29.02m
Episode: 1072, Reward: -16.6875, Advantage: -3.1043129232237383e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00036455, Time: 24.99s, Total Time: 29.44m
Episode: 1088, Reward: -16.9375, Advantage: 4.109332281191756e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00044591, Time: 27.24s, Total Time: 29.89m
Episode: 1104, Reward: -15.625, Advantage: -1.6276085118291128e-16, Logits: 0.486083984375, BCE: -0.69287109375, Loss: 0.00033021, Time: 25.13s, Total Time: 30.31m
Episode: 1120, Reward: -17.125, Advantage: -9.269823312404219e-17, Logits: 0.486083984375, BCE: -0.69287109375, Loss: -0.00017544, Time: 24.82s, Total Time: 30.72m
Episode: 1136, Reward: -17.6875, Advantage: -3.3414479381922185e-17, Logits: 0.486083984375, BCE: -0.69287109375, Loss: 0.00025122, Time: 24.60s, Total Time: 31.13m
Episode: 1152, Reward: -14.9375, Advantage: -1.3365791752768874e-16, Logits: 0.486083984375, BCE: -0.6923828125, Loss: 0.00005944, Time: 24.78s, Total Time: 31.55m
Episode: 1168, Reward: -15.3125, Advantage: 9.300297588482987e-18, Logits: 0.486083984375, BCE: -0.69287109375, Loss: -0.00006727, Time: 25.05s, Total Time: 31.96m
Episode: 1184, Reward: -16.5, Advantage: -8.623091453399273e-17, Logits: 0.486083984375, BCE: -0.6923828125, Loss: 0.00041889, Time: 30.04s, Total Time: 32.46m
Episode: 1200, Reward: -16.8125, Advantage: -3.309111345241971e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: -0.00021850, Time: 26.68s, Total Time: 32.91m
Episode: 1216, Reward: -15.5625, Advantage: 1.3020416623876183e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00014000, Time: 22.57s, Total Time: 33.29m
Episode: 1232, Reward: -16.0625, Advantage: -9.043271182401275e-17, Logits: 0.486328125, BCE: -0.69287109375, Loss: 0.00011297, Time: 25.79s, Total Time: 33.72m
Episode: 1248, Reward: -17.375, Advantage: 2.8283057143165756e-16, Logits: 0.486328125, BCE: -0.69287109375, Loss: -0.00003278, Time: 27.24s, Total Time: 34.17m
